City,PM25,NO2,PM10,AQI_PM25,AQI_NO2,AQI_PM10,AQI_MAX,datetimeUtc
Gera Friedericistr.,1.8,5.1,2.7,8,5,3,8,2024-02-04T14:00:00+00:00
Gera Friedericistr.,1.8,5.8,2.7,8,6,3,8,2024-02-04T15:00:00+00:00
Gera Friedericistr.,2,6.8,3.1,9,7,3,9,2024-02-04T16:00:00+00:00
Gera Friedericistr.,2.3,7.4,3.5,10,7,4,10,2024-02-04T17:00:00+00:00
Gera Friedericistr.,1.9,5.1,3,8,5,3,8,2024-02-04T18:00:00+00:00
Gera Friedericistr.,1.8,6.4,2.8,8,7,3,8,2024-02-04T19:00:00+00:00
Gera Friedericistr.,1.8,3.5,3.1,8,4,3,8,2024-02-04T20:00:00+00:00
Gera Friedericistr.,1.9,5.3,3,8,5,3,8,2024-02-04T21:00:00+00:00
Gera Friedericistr.,1.9,4.7,3,8,5,3,8,2024-02-04T22:00:00+00:00
Gera Friedericistr.,1.6,2.9,2.7,7,3,3,7,2024-02-04T23:00:00+00:00
Gera Friedericistr.,1.4,3.2,2.1,6,4,2,6,2024-02-05T00:00:00+00:00
Gera Friedericistr.,1.4,1.9,2.1,6,2,2,6,2024-02-05T01:00:00+00:00
Gera Friedericistr.,1.4,1.9,2.1,6,2,2,6,2024-02-05T02:00:00+00:00
Gera Friedericistr.,1.4,1.9,2.1,6,2,2,6,2024-02-05T03:00:00+00:00
Gera Friedericistr.,1.5,3.1,2.1,7,3,2,7,2024-02-05T04:00:00+00:00
Gera Friedericistr.,1.7,3.2,3,8,4,3,8,2024-02-05T05:00:00+00:00
Gera Friedericistr.,2,1.9,3.6,9,2,4,9,2024-02-05T06:00:00+00:00
Gera Friedericistr.,3.4,5.4,6.5,15,6,7,15,2024-02-05T07:00:00+00:00
Gera Friedericistr.,4.3,6,8.5,18,6,8,18,2024-02-05T08:00:00+00:00
Gera Friedericistr.,5.1,4.4,11,22,5,11,22,2024-02-05T09:00:00+00:00
Gera Friedericistr.,7.1,3.2,16,30,4,15,30,2024-02-05T10:00:00+00:00
Gera Friedericistr.,7.2,1.9,16,30,2,15,30,2024-02-05T11:00:00+00:00
Gera Friedericistr.,6.7,3.9,16,28,4,15,28,2024-02-05T12:00:00+00:00
Gera Friedericistr.,7.2,3,18,30,3,17,30,2024-02-05T13:00:00+00:00
Gera Friedericistr.,6.6,4.5,16,28,5,15,28,2024-02-05T14:00:00+00:00
Gera Friedericistr.,7.2,6.1,18,30,6,17,30,2024-02-05T15:00:00+00:00
Gera Friedericistr.,6.6,6.8,15,28,7,14,28,2024-02-05T16:00:00+00:00
Gera Friedericistr.,6.8,6.1,15,29,6,14,29,2024-02-05T17:00:00+00:00
