City,PM25,NO2,PM10,AQI_PM25,AQI_NO2,AQI_PM10,AQI_MAX,datetimeUtc
Nairobi,13,-0.01893375,26,54,1,25,54,2024-02-07T10:00:00+00:00
Nairobi,9.9,-0.0149175,19,42,1,18,42,2024-02-07T11:00:00+00:00
Nairobi,7.8,-0.013005,13,33,1,13,33,2024-02-07T12:00:00+00:00
Nairobi,6.4,-0.01224,8.9,27,1,9,27,2024-02-07T13:00:00+00:00
Nairobi,6,-0.013005,7.3,25,1,7,25,2024-02-07T14:00:00+00:00
Nairobi,7.1,-0.005355,11,30,1,11,30,2024-02-07T15:00:00+00:00
Nairobi,10,0.0179775,23,42,1,22,42,2024-02-07T16:00:00+00:00
Nairobi,9.7,0.0248625,21,41,1,20,41,2024-02-07T17:00:00+00:00
Nairobi,9.4,0.0248625,21,40,1,20,40,2024-02-07T18:00:00+00:00
Nairobi,8.7,0.0248625,20,37,1,19,37,2024-02-07T19:00:00+00:00
Nairobi,10,0.0286875,25,42,1,24,42,2024-02-07T20:00:00+00:00
Nairobi,8.6,0.02295,19,36,1,18,36,2024-02-07T21:00:00+00:00
Nairobi,8,0.0126225,18,34,1,17,34,2024-02-07T22:00:00+00:00
Nairobi,9.2,0.0164475,22,39,1,21,39,2024-02-07T23:00:00+00:00
Nairobi,8.9,0.01836,20,38,1,19,38,2024-02-08T00:00:00+00:00
Nairobi,9.3,0.02295,23,39,1,22,39,2024-02-08T01:00:00+00:00
Nairobi,7.5,0.0248625,18,32,1,17,32,2024-02-08T02:00:00+00:00
Nairobi,5.4,0.034425,12,23,1,12,23,2024-02-08T03:00:00+00:00
Nairobi,8.4,0.03825,21,35,1,20,35,2024-02-08T04:00:00+00:00
Nairobi,10,0.0286875,26,42,1,25,42,2024-02-08T05:00:00+00:00
Nairobi,8.6,0.0306,22,36,1,21,36,2024-02-08T06:00:00+00:00
Nairobi,10,0.01625625,26,42,1,25,42,2024-02-08T07:00:00+00:00
Nairobi,9.7,-0.02295,19,41,1,18,41,2024-02-08T08:00:00+00:00
Nairobi,12,-0.0248625,25,50,1,24,50,2024-02-08T09:00:00+00:00
Nairobi,9.7,-0.026775,18,41,1,17,41,2024-02-08T10:00:00+00:00
Nairobi,6.7,-0.01816875,9.1,28,1,9,28,2024-02-08T11:00:00+00:00
Nairobi,6.4,-0.01243125,8.7,27,1,9,27,2024-02-08T12:00:00+00:00
Nairobi,9.4,-0.00459,18,40,1,17,40,2024-02-08T13:00:00+00:00
Nairobi,5.5,-0.00860625,6.4,23,1,6,23,2024-02-08T14:00:00+00:00
Nairobi,6.7,0.01243125,11,28,1,11,28,2024-02-08T15:00:00+00:00
Nairobi,7.4,0.0210375,14,31,1,13,31,2024-02-08T16:00:00+00:00
Nairobi,8.5,0.01549125,18,36,1,17,36,2024-02-08T17:00:00+00:00
Nairobi,14,0.0248625,32,56,1,30,56,2024-02-08T18:00:00+00:00
Nairobi,12,0.01051875,28,50,1,26,50,2024-02-08T19:00:00+00:00
Nairobi,15,0.02295,40,58,1,38,58,2024-02-08T20:00:00+00:00
